microsoftazuremanagementtrafficmanagerfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.TrafficManager.Fluent,1.38.1
microsoftazuremanagementvideoanalyzer,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.VideoAnalyzer,1.0.0-beta.3
microsoftazuremanagementwebsites,[tfm=netstandard2.0]Microsoft.Azure.Management.WebSites,4.0.0
microsoftazuremanagementworkloadmonitor,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.WorkloadMonitor,1.0.0-preview
microsoftazureoperationalinsights,[tfm=netstandard2.0]Microsoft.Azure.OperationalInsights,1.1.0
microsoftazuresearch,[tfm=netstandard2.0]Microsoft.Azure.Search,10.1.0
microsoftazuresearchcommon,[tfm=netstandard2.0]Microsoft.Azure.Search.Common,10.1.0
microsoftazuresearchdata,[tfm=netstandard2.0]Microsoft.Azure.Search.Data,10.1.0
microsoftazuresearchservice,[tfm=netstandard2.0]Microsoft.Azure.Search.Service,10.1.0
microsoftazureservicebus,[tfm=netstandard2.0]Microsoft.Azure.ServiceBus,5.2.0
microsoftazureservicebuseventprocessorhost,[tfm=netstandard2.0]Microsoft.Azure.ServiceBus.EventProcessorHost,5.0.1
microsoftazureservicesappauthentication,[tfm=netstandard2.0]Microsoft.Azure.Services.AppAuthentication,1.6.2
microsoftazurestorageblob,[tfm=netstandard2.0]Microsoft.Azure.Storage.Blob,11.2.3
microsoftazurestoragecommon,[tfm=netstandard2.0]Microsoft.Azure.Storage.Common,11.1.0
microsoftazurestoragefile,[tfm=netstandard2.0]Microsoft.Azure.Storage.File,11.2.3
microsoftazurestoragequeue,[tfm=netstandard2.0]Microsoft.Azure.Storage.Queue,11.2.3
microsoftazurewebjobsextensionsapihub,[tfm=netstandard2.0]Microsoft.Azure.WebJobs.Extensions.ApiHub,1.0.0-beta9
microsoftazurewebjobsextensionsdurabletask,[tfm=netstandard2.0]Microsoft.Azure.WebJobs.Extensions.DurableTask,1.8.3
microsoftazurewebjobsextensionswebhooks,[tfm=netstandard2.0]Microsoft.Azure.WebJobs.Extensions.WebHooks,1.0.0-beta4
microsoftazurewebjobsscript,[tfm=netstandard2.0]Microsoft.Azure.WebJobs.Script,1.0.0-beta3
microsoftazurewebjobsscriptextensibility,[tfm=netstandard2.0]Microsoft.Azure.WebJobs.Script.Extensibility,1.0.0-beta3
microsoftazurewebjobsscriptwebhost,[tfm=netstandard2.0]Microsoft.Azure.WebJobs.Script.WebHost,1.0.0-beta3
microsoftazurewebjobsservicebus,[tfm=netstandard2.0]Microsoft.Azure.WebJobs.ServiceBus,3.0.0-beta8
microsoftopentelemetryexporterazuremonitor,[isPrerelease=true;tfm=netstandard2.0]Microsoft.OpenTelemetry.Exporter.AzureMonitor,1.0.0-beta.1
microsoftservicefabric,[tfm=netstandard2.0]Microsoft.ServiceFabric,8.2.1748
microsoftsqlservermanagementalwaysencryptedazurekeyvaultprovider,[tfm=netstandard2.0]Microsoft.SqlServer.Management.AlwaysEncrypted.AzureKeyVaultProvider,2.4.0
microsoftwindowsazuremanagement,[tfm=netstandard2.0]Microsoft.WindowsAzure.Management,4.1.3
