azuremapssearch,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Maps.Search,2.0.0-alpha.20250513.1
azuremapstimezones,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Maps.TimeZones,1.0.0-alpha.20250513.1
azuremediaanalyticsedge,[isPrerelease=true;tfm=netstandard2.0]Azure.Media.Analytics.Edge,1.0.0-beta.1
azuremessagingeventgrid,[tfm=netstandard2.0;isPrerelease=true]Azure.Messaging.EventGrid,4.22.0-beta.1
azuremessagingeventgridnamespaces,[tfm=netstandard2.0;isPrerelease=true]Azure.Messaging.EventGrid.Namespaces,1.0.0-beta.1
azuremessagingeventhubs,[tfm=netstandard2.0;isPrerelease=true]Azure.Messaging.EventHubs,5.12.0-beta.2
azuremessagingeventhubsprocessor,[tfm=netstandard2.0;isPrerelease=true]Azure.Messaging.EventHubs.Processor,5.12.0-beta.2
azuremessagingservicebus,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Messaging.ServiceBus,7.20.0-alpha.20250514.1
azuremessagingwebpubsubclient,[isPrerelease=true;tfm=netstandard2.0]Azure.Messaging.WebPubSub.Client,1.0.0-beta.2
azuremixedrealityauthentication,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.MixedReality.Authentication,1.3.0-alpha.20250514.1
azuremixedrealityobjectanchorsconversion,[isPrerelease=true;tfm=netstandard2.0]Azure.MixedReality.ObjectAnchors.Conversion,0.3.0-beta.6
azuremonitoringestion,[tfm=netstandard2.0;isPrerelease=true]Azure.Monitor.Ingestion,1.1.0-beta.1
azuremonitoropentelemetryaspnetcore,[tfm=netstandard2.0;isPrerelease=true]Azure.Monitor.OpenTelemetry.AspNetCore,1.3.0-beta.3
azuremonitoropentelemetryexporter,[tfm=netstandard2.0;isPrerelease=true]Azure.Monitor.OpenTelemetry.Exporter,1.4.0-beta.3
azuremonitorquery,[tfm=netstandard2.0;isPrerelease=true]Azure.Monitor.Query,1.3.0-beta.2
azureprojects,[tfm=netstandard2.0;isPrerelease=true]Azure.Projects,1.0.0-beta.1
azureprojectsai,[tfm=netstandard2.0;isPrerelease=true]Azure.Projects.AI,1.0.0-beta.1
azureprojectsprovisioning,[tfm=netstandard2.0;isPrerelease=true]Azure.Projects.Provisioning,1.0.0-beta.1
azureprojectsweb,[tfm=netstandard2.0;isPrerelease=true]Azure.Projects.Web,1.0.0-beta.1
azureprovisioning,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning,1.1.0-alpha.20250513.1
azureprovisioningappconfiguration,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.AppConfiguration,1.1.0-alpha.20250513.1
azureprovisioningappcontainers,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.AppContainers,1.0.0-beta.1
azureprovisioningapplicationinsights,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.ApplicationInsights,1.0.0-beta.1
azureprovisioningappservice,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.AppService,1.0.0-beta.1
azureprovisioningcognitiveservices,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.CognitiveServices,1.1.0-alpha.20250513.1
azureprovisioningcommunication,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.Communication,1.0.0-beta.2
azureprovisioningcontainerregistry,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.ContainerRegistry,1.0.0-beta.1
azureprovisioningcontainerservice,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.ContainerService,1.0.0-beta.2
azureprovisioningcosmosdb,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.CosmosDB,1.1.0-alpha.20250513.1
azureprovisioningdeployment,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.Deployment,1.0.0-beta.2
azureprovisioningeventgrid,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.EventGrid,1.0.0-beta.1
azureprovisioningeventhubs,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.EventHubs,1.1.0-alpha.20250513.1
azureprovisioningkeyvault,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.KeyVault,1.1.0-alpha.20250513.1
azureprovisioningkubernetes,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.Kubernetes,1.0.0-beta.2
azureprovisioningkubernetesconfiguration,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.KubernetesConfiguration,1.0.0-beta.2
azureprovisioningoperationalinsights,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.OperationalInsights,1.0.0-beta.1
azureprovisioningpostgresql,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.PostgreSql,1.1.0-alpha.20250513.1
azureprovisioningredis,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.Redis,1.1.0-alpha.20250513.1
azureprovisioningresources,[tfm=netstandard2.0;isPrerelease=true]Azure.Provisioning.Resources,0.2.0
azureprovisioningsearch,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.Search,1.1.0-alpha.20250513.1
azureprovisioningservicebus,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.ServiceBus,1.1.0-alpha.20250513.1
azureprovisioningsignalr,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.SignalR,1.1.0-alpha.20250513.1
azureprovisioningsql,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.Sql,1.1.0-alpha.20250513.1
azureprovisioningstorage,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.Storage,1.1.0-alpha.20250513.1
azureprovisioningwebpubsub,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Provisioning.WebPubSub,1.1.0-alpha.20250513.1
azurequantumjobs,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Quantum.Jobs,1.0.0-alpha.20250514.1
azureresourcemanager,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager,1.12.0-beta.1
